Date,Company,Business,Country,Value,Used as / Integrated with,References
28 October 1987,Fairchild Semiconductor chip plant,Semiconductor,JPN,,Sony Semiconductor Solutions,[1]
5 January 1988,"CBS Records Group, CBS/Sony",Music,US,"$2,000,000,000",Sony Music Group,[2]
4 January 1989,Tree International Publishing,Music publishing,US,"$40,000,000",Sony Music Group,[3]
8 November 1989,Columbia Pictures Entertainment,"Film, television",US,"$3,400,000,000",Sony Pictures Entertainment,[4]
9 November 1989,Guber-Peters Entertainment,"Film, television",US,"$200,000,000",Sony Pictures Entertainment,[5][6]
22 February 1990,AMD chip plant,Semiconductor,US,"$55,000,000",Sony Semiconductor Solutions,[7]
26 June 1991,Culver Studios,"Film, television",US,"$80,000,000",Sony Pictures Entertainment,[8]
21 May 1993,Psygnosis,Video game,UK,,Sony Interactive Entertainment,[9]
19 January 1995,Sony of Canada,Consumer electronics,CAN,"$207,000,000",Sony Canada,[10]
1 March 1996,Sony Life,Insurance,JPN US,,Sony Financial Group,[11]
30 August 2000,RTime,Broadband networks,US,,Sony Interactive Entertainment,[12]
1 December 2000,Bend Studio,Video game,US,,Sony Interactive Entertainment,[13]
22 January 2001,Naughty Dog,Video game,US,,Sony Interactive Entertainment,[14]
9 July 2002,Acuff-Rose Music,Music publishing,US,"$157,000,000",Sony Music Group,[15]
7 August 2002,Incognito Entertainment,Video game,US,,Sony Interactive Entertainment,[16]
27 September 2002,Aiwa,Consumer electronics,JPN,,Sony Corporation,[17]
31 July 2003,Sonic Foundry desktop software business,Editing software,US,"$19,000,000",Sony Pictures Entertainment,[18]
12 October 2004,GospoCentric Records,Music,US,,Sony Music Group,[19]
27 September 2005,SN Systems,Game development tool,UK,,Sony Interactive Entertainment,[20]
7 December 2005,Guerrilla Games,Video game,NED,,Sony Interactive Entertainment,[21]
19 January 2006,Konica Minolta camera business,Digital camera,JPN,,Sony Corporation,[22]
25 January 2006,Zipper Interactive,Video game,US,,Sony Interactive Entertainment,[23]
23 August 2006,Crackle,"Film, television, video on demand",US,"$65,000,000",Sony Pictures Entertainment,[24]
15 May 2007,Sigil Games Online,Video game,US,,Sony Pictures Entertainment,[25]
30 May 2007,Famous Music,Music publishing,US,"$370,000,000",Sony Music Group,[26][27]
20 September 2007,"Evolution Studios, Bigbig Studios",Video game,UK,,Sony Interactive Entertainment,[28]
29 February 2008,Sony Bank,Bank,JPN,,Sony Financial Group,[29]
4 June 2008,2waytraffic,Television,NED,"$363,000,000",Sony Pictures Entertainment,[30]
2 July 2008,Gracenote,Automatic content recognition,US,"$260,000,000",Sony Corporation of America,[31][32]
1 October 2008,Sony BMG Music Entertainment,Music,JPN GER,"$1,200,000,000",Sony Music Group,[33][34][35]
5 December 2008,Sony NEC Optiarc,Computer data storage,JPN,,Sony Corporation,[36]
14 January 2009,Embassy Row,Television,US,,Sony Pictures Entertainment,[37]
28 January 2010,Convergent Media Systems,Content delivery network,US,,Sony Corporation,[38]
10 February 2010,iCyt Mission Technology,Flow cytometry,US,,Sony Corporation of America,[39]
2 March 2010,Media Molecule,Video game,UK,,Sony Interactive Entertainment,[40][41]
2 February 2011,Suzhou Epson,Display,CHN,"$118,000,000",Sony China,[42]
28 February 2011,Toshiba chip plant,Image sensor,JPN,"$648,000,000",Sony Semiconductor Solutions,[43]
7 March 2011,Hawk-Eye Innovations,Computer vision,UK,,Sony Corporation,[44]
